               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.029359,           0.0086385,           0.0056315,             0.92346,             0.75295,             0.83495,             0.51913,            0.026662,           0.0055053,           0.0040903,           0.0090892,           0.0090892,           0.0090892
                  94,            0.031707,            0.010513,           0.0065609,             0.93236,             0.92628,             0.96408,             0.61831,            0.026282,           0.0050702,           0.0027791,           0.0090793,           0.0090793,           0.0090793
                  95,            0.032028,             0.01029,           0.0057418,             0.94101,              0.9207,             0.97383,             0.68158,            0.025074,           0.0050451,           0.0026191,           0.0090694,           0.0090694,           0.0090694
                  96,            0.029538,            0.008545,           0.0054749,             0.91805,             0.88665,             0.96396,             0.71756,            0.021277,           0.0050855,           0.0028917,           0.0090595,           0.0090595,           0.0090595
                  97,            0.026839,           0.0099629,           0.0060983,             0.88232,             0.92532,             0.96045,             0.71493,            0.025043,           0.0048583,           0.0028239,           0.0090496,           0.0090496,           0.0090496
                  98,            0.027628,           0.0082873,           0.0053229,             0.93115,             0.87978,              0.9711,             0.62476,            0.024768,           0.0048503,           0.0028064,           0.0090397,           0.0090397,           0.0090397
                  99,            0.029794,           0.0081255,           0.0051988,             0.84683,             0.95405,             0.95152,             0.62578,            0.024276,           0.0048164,           0.0028684,           0.0090298,           0.0090298,           0.0090298
                 100,            0.030868,           0.0086903,           0.0046056,             0.92122,              0.9707,             0.96525,             0.54984,            0.025123,           0.0048103,           0.0026538,           0.0090199,           0.0090199,           0.0090199
                 101,            0.030716,           0.0084071,            0.005168,             0.94002,             0.96509,             0.98392,             0.65925,            0.023972,           0.0047138,           0.0026736,             0.00901,             0.00901,             0.00901
                 102,            0.030025,           0.0092352,           0.0059121,             0.94792,             0.93892,             0.98709,             0.64257,            0.023278,           0.0049325,           0.0028123,           0.0090001,           0.0090001,           0.0090001
                 103,            0.030559,           0.0076698,            0.005571,             0.91461,             0.96687,             0.96806,             0.67529,            0.024931,           0.0048705,           0.0027709,           0.0089902,           0.0089902,           0.0089902
                 104,            0.028621,           0.0080584,           0.0053153,             0.94196,             0.98434,             0.98776,             0.65678,            0.023278,           0.0046696,           0.0028509,           0.0089803,           0.0089803,           0.0089803
                 105,             0.02986,           0.0086374,           0.0057924,             0.97432,             0.93349,             0.98996,             0.65381,             0.02375,           0.0047819,           0.0028312,           0.0089704,           0.0089704,           0.0089704
                 106,             0.03116,           0.0098499,           0.0048298,             0.95396,             0.90564,             0.97653,             0.73387,            0.021204,           0.0048772,           0.0029303,           0.0089605,           0.0089605,           0.0089605
                 107,            0.028824,           0.0084171,           0.0041206,             0.95502,             0.89874,             0.95866,             0.72359,            0.021897,            0.004827,           0.0028764,           0.0089506,           0.0089506,           0.0089506
                 108,            0.029662,           0.0098339,           0.0057623,             0.97835,             0.95709,             0.98855,             0.70066,            0.023862,           0.0046742,           0.0024697,           0.0089407,           0.0089407,           0.0089407
                 109,            0.029599,           0.0088307,           0.0047279,             0.95772,             0.96421,             0.98772,             0.69725,            0.024931,           0.0045724,           0.0023396,           0.0089308,           0.0089308,           0.0089308
                 110,            0.030331,           0.0084862,           0.0038184,             0.96385,             0.96595,             0.98197,             0.70006,            0.022398,           0.0046128,           0.0023925,           0.0089209,           0.0089209,           0.0089209
                 111,            0.031563,           0.0083124,           0.0049759,             0.94922,             0.94316,             0.96346,             0.65346,            0.021393,           0.0047402,           0.0024954,            0.008911,            0.008911,            0.008911
                 112,            0.028513,           0.0088113,           0.0039086,             0.96917,             0.96251,              0.9878,             0.75488,            0.022894,           0.0046128,           0.0024654,           0.0089011,           0.0089011,           0.0089011
                 113,             0.02829,           0.0084588,           0.0037401,             0.95688,             0.99194,             0.99047,             0.75121,            0.022008,           0.0046973,           0.0024634,           0.0088912,           0.0088912,           0.0088912
                 114,            0.029375,           0.0085807,           0.0052137,             0.96488,             0.96368,             0.98953,             0.78083,            0.021679,           0.0049463,           0.0025663,           0.0088813,           0.0088813,           0.0088813
